ID,Title,Sku,"Post Type","Product Type","Parent Product ID","Regular Price","Sale Price","Product categories",Brand,rank_math_seo_score,Permalink,Date,"External Product URL","Button Text"
8314,OceanWP,8314,product,external,0,39,,"Wordpress Themes>Multipurpose",OceanWp,,https://appsfomo.com/reviews/oceanwp/,2021-01-05,https://oceanwp.org/,"Buy Now"
8336,ShopIsle,,product,external,0,52,,"Wordpress Themes>e-commerce",Themeisle,,https://appsfomo.com/reviews/shopisle/,2021-01-06,https://themeisle.com/themes/shop-isle-pro/#pricing,"Buy Now"
8340,BetterDocs,,product,external,0,39,,"Wordpress Plugins>Documentation","WP developer",,https://appsfomo.com/reviews/betterdocs/,2021-01-06,https://betterdocs.co/,"Buy Now"
8345,Generatepress,,product,external,0,59,44,"Wordpress Themes",Generatepress,,https://appsfomo.com/reviews/generatepress-lightning-speed-wordpress-theme-2021-review/,2021-01-06,https://generatepress.com/,"Buy Now"
8405,Kadence,,product,external,0,69,56,"Wordpress Themes>Multipurpose",,,https://appsfomo.com/reviews/kadence/,2021-01-08,https://kadence-theme.com/,"Buy Now"
8509,Imagely,,product,external,0,29,,"Wordpress Themes>Creative",Imagely,,https://appsfomo.com/reviews/imagely/,2021-01-11,https://www.imagely.com/pricing/,"Buy Now"
9234,Brizy,,product,external,0,49,,"Wordpress Themes>Page Builder",Brizy,,https://appsfomo.com/reviews/brizy/,2021-01-15,https://www.brizy.io/brizy-pro-pricing/,"Buy Now"
9530,SEOPress,,product,external,0,39,,"Wordpress Plugins>SEO Plugin","SEO Press",,https://appsfomo.com/reviews/seopress/,2021-01-21,https://www.seopress.org/pricing/ref/452/,"Buy Now"
9862,"Elementor Pro",,product,external,0,49,,"Wordpress Plugins>Page Builder","Elementor Ltd",,https://appsfomo.com/reviews/elementor-pro/,2021-03-01,https://elementor.com/pro/,"Buy Now"
9880,LearnDash,,product,external,0,159,,"Wordpress Plugins>LMS",LearnDash,,https://appsfomo.com/reviews/learndash/,2021-03-03,https://www.learndash.com/pricing-and-purchase/,"Buy Now"
9895,"Caldera Forms",,product,external,0,49,,"Wordpress Plugins>Forms &amp; Popups","Caldera Labs",,https://appsfomo.com/reviews/caldera-forms/,2021-03-03,https://calderaforms.com/pricing/,"Buy Now"
9904,StackSocial,,product,external,0,,,"Deals Platform",StackCommerce,,https://appsfomo.com/reviews/stacksocial/,2021-02-01,https://stacksocial.com/,"Buy Now"
9911,AppSumo,,product,external,0,,,"Deals Platform",Appsumo,80,https://appsfomo.com/reviews/appsumo/,2021-02-01,https://appsumo.com/,"Buy Now"
9936,Shortpixel,,product,external,0,4.99,,"Wordpress Plugins",ShortPixel,84,https://appsfomo.com/reviews/shortpixel/,2021-02-03,https://shortpixel.com/pricing,"Buy Now"
10007,"WP Fluent Forms",,product,external,0,59,,"Wordpress Plugins>Forms &amp; Popups",WpManageNinja,78,https://appsfomo.com/reviews/fluent-forms/,2021-02-05,https://wpmanageninja.com/downloads/fluentform-pro-add-on/,"Buy Now"
10059,Ora,,product,external,0,10,4.33,"SaaS>Project Management",,11,https://appsfomo.com/reviews/ora/,2021-02-11,https://ora.pm/,"Sign Up Today"
10060,Glorify,,product,external,0,29.99,,"SaaS>Design &amp; Collaboration",Glorify,92,https://appsfomo.com/reviews/glorify/,2021-02-12,https://www.glorifyapp.com/pricing/,"Sign Up Today"
