Title,id,Affiliate Store,rehub_offer_product_url,Status,Expired,re_post_expired
iBrave,15724,Stacksocial,https://stacksocial.com/sales/ibrave-cloud-web-hosting-lifetime-subscription/?aid=a-j0gmt06o,Live,,0
Liro Pro,15885,Stacksocial,https://stacksocial.com/sales/liro-pro-lifetime-subscription/?aid=a-j0gmt06o,Live,,0
ProWritingAid,15899,Stacksocial,https://stacksocial.com/sales/the-award-winning-prowritingaid-lifetime-subscription-bundle/?aid=a-j0gmt06o,Live,,0
CuriosityStream,15922,Stacksocial,https://stacksocial.com/sales/curiositystream-hd-plan-lifetime-subscription/?aid=a-j0gmt06o,Live,,0
StoryXpress,15933,Stacksocial,https://stacksocial.com/sales/2-years-of-storyxpress-lite/?aid=a-j0gmt06o,Expired,yes,1
MindMaster,16110,Stacksocial,https://stacksocial.com/sales/mindmaster/?aid=a-j0gmt06o,Expired,yes,1
Pinstriped,16115,Stacksocial,https://stacksocial.com/sales/pinstriped-premium-plan-lifetime-subscription-2/?aid=a-j0gmt06o,Live,,0
ScaffoldHub,16232,Stacksocial,https://stacksocial.com/sales/scaffoldhub-developer-plan-lifetime-subscription/?aid=a-j0gmt06o,Expired,yes,1
CTemplar,16238,Stacksocial,https://stacksocial.com/sales/ctemplar-prime-plan-lifetime-subscription/?aid=a-j0gmt06o,Expired,yes,1
Rootpal,16313,Stacksocial,https://stacksocial.com/sales/rootpal-wordpress-hosting-lifetime-subscription/?aid=a-j0gmt06o,Live,,0
Prizmo,16417,Stacksocial,https://stacksocial.com/sales/prizmo-4-pro-pack/?aid=a-j0gmt06o,Expired,yes,1
Paintstorm,16426,Stacksocial,https://stacksocial.com/sales/paintstorm-studio-lifetime-subscription-1-pc/?aid=a-j0gmt06o,Live,,0
Mockplus Cloud,16981,Stacksocial,https://stacksocial.com/sales/mockplus-cloud-pro-2-year-subscription-3-users?aid=a-j0gmt06o,Expired,yes,1
Natural Text to Speech,17072,Stacksocial,https://stacksocial.com/sales/naturaltts-online-text-to-speech-converter-lifetime-subscription,Live,,0
Venus Design System,17103,Stacksocial,https://stacksocial.com/sales/venus-design-system-freelancer-plan-lifetime-subscription/?aid=a-j0gmt06o,Live,,0
Action 4,17114,Stacksocial,https://stacksocial.com/sales/action-screen-recording-software-and-gameplay-recorder?aid=a-j0gmt06o,Live,,0
Pixlr,17170,Stacksocial,https://stacksocial.com/sales/pixlr-premium-1-year-subscription%20/?aid=a-j0gmt06o,Expired,yes,1
Shells™ Personal Cloud Computer,17181,Stacksocial,https://stacksocial.com/sales/shells-basic-plan-1-year-subscription/?aid=a-j0gmt06o,Live,,0
LiveWebinar Pro,17279,Stacksocial,https://stacksocial.com/sales/lifetime-of-livewebinar-pro/?aid=a-j0gmt06o,Expired,yes,1
Pcloud,17308,Stacksocial,https://stacksocial.com/sales/pcloud-premium-plus-cloud-storage-1-yr-subscription/?aid=a-j0gmt06o,Expired,yes,1
Wondershare DemoCreator,17361,Stacksocial,https://stacksocial.com/sales/wondershare-democreator-for-mac/?aid=a-j0gmt06o,Live,,0
Nichesss AI Copywriter,17373,Stacksocial,https://stacksocial.com/sales/nichesss-lifetime-subscription/?aid=a-j0gmt06o,Live,,0
Intego Antivirus,17435,Stacksocial,https://stacksocial.com/sales/intego-antivirus-1-year-subscription?aid=a-j0gmt06o,Live,,0
Vidtoon,17473,Stacksocial,https://stacksocial.com/sales/vidtoon-2-0-animated-video-maker-lifetime-subscription/?aid=a-j0gmt06o,Live,,0
hipCV Resume Builder,17535,Stacksocial,https://stacksocial.com/sales/hipcv-resume-builder-1-year-subscription/?aid=a-j0gmt06o,Live,,0
Gecata Game Recorder,17566,Stacksocial,https://stacksocial.com/sales/gecata-game-recorder/?aid=a-j0gmt06o,Expired,yes,1
Slidebean,17771,Stacksocial,https://stacksocial.com/sales/slidebean-starter-plan-lifetime-subscription/?aid=a-j0gmt06o,Live,,0
Statfolio,17884,Stacksocial,https://stacksocial.com/sales/statfolio-pro-plan-lifetime-subscription/?aid=a-j0gmt06o,Live,,0
Sidemail,17929,Stacksocial,https://stacksocial.com/sales/sidemail-lifetime-subscription-100k-emails-month/?aid=a-j0gmt06o,Live,,0
